no,pred
5124,0.09345421305723678
14114,0.154986752994547
3390,0.1384441753176976
9010,0.11842435941843575
9301,0.07226292864067725
16502,0.08100573909996593
14257,0.09271850413150488
3857,0.10517352191806316
5338,0.09405581638975354
16854,0.1578162996363447
79,0.10879608065072294
7962,0.10484000429021686
12044,0.10129001182886159
10027,0.07162702097202941
9222,0.1144499016619068
4622,0.10626048054251791
13349,0.15303710522432426
6391,0.08515952420936822
14512,0.11239232252257836
4362,0.14139256752295568
5236,0.10702303263382687
8327,0.07032285582063537
11677,0.14443111386311316
6581,0.14550236391376958
5083,0.10843123947531026
14404,0.08988284451361263
869,0.107502405997228
10465,0.3696604940046726
10574,0.1322383156570567
11212,0.27745389668024156
12120,0.12383529803660746
8597,0.13877508543309777
5346,0.14457787807792633
7508,0.1332815434356637
4755,0.12797880964156752
1554,0.16072750212723902
15536,0.10686910527571922
11471,0.11286450027463743
15171,0.07748353339652651
9057,0.11842435941843575
12017,0.11616048823204266
13230,0.11842435941843575
4828,0.0800794116782747
4746,0.17365212170623312
1153,0.11766671184771398
5619,0.12339960831184185
4237,0.14906907626306987
14662,0.10265401599572124
14856,0.09399552763563594
11325,0.08711579189897369
5538,0.06722923003762173
17128,0.10450699894355205
2073,0.1183369540201591
13003,0.08016900479050137
9694,0.10843123947531026
12071,0.07892697231278895
13007,0.18055757999512717
15651,0.08539933460007938
16975,0.11074698775241876
320,0.19488606955672277
14878,0.12988844417257356
10160,0.08132878045313645
4944,0.14707375041625376
1677,0.10381316408877629
7594,0.11651525844227716
12852,0.1439180153274125
1057,0.11616048823204266
5666,0.10286042487929259
12983,0.10016303450959149
14510,0.10957210841261068
9191,0.09533699846496965
14308,0.1782466552600493
11748,0.12108384373746978
10951,0.11861491821356203
2633,0.18448686078924903
2796,0.1021110404370079
10174,0.11281047638257416
3257,0.10957210841261068
4660,0.1322383156570567
5158,0.10736750022684637
12818,0.1311331918292795
5257,0.11842435941843575
3067,0.07450219448161295
8283,0.11398030232001313
7683,0.14550236391376958
12824,0.16038825542281795
4501,0.11712416188793395
11689,0.11141131913147044
192,0.08918039661383843
6948,0.11616234860527584
3610,0.0933592135728079
9732,0.0967009238590607
16174,0.1359157558709485
9643,0.1075566530418474
11343,0.11842435941843575
9616,0.14710757068168728
9247,0.1322383156570567
15082,0.14550236391376958
13571,0.08971706522250451
12482,0.11648979564747977
7427,0.0801586046178764
10704,0.1090462333276622
12492,0.14972479469084435
6828,0.10843123947531026
14448,0.0744611468106213
8323,0.0754778921200861
5545,0.1740093911857236
371,0.4041047471285621
6297,0.12988844417257356
