no,pred
5124,0.058333357902454315
14114,0.032459951042144136
3390,0.05821113336078337
9010,0.07510192446061117
9301,0.0012129619216932855
16502,0.14747019143965098
14257,0.030156308865174425
3857,0.054371672621356275
5338,0.006189058888790147
16854,0.0896752401817058
79,0.0031017345076894496
7962,0.018562983640078547
12044,0.023173185670604914
10027,0.0007779504625537191
9222,0.00739117469930398
4622,0.05748588019108252
13349,0.16704937909582576
6391,0.014842516397989622
14512,0.011073054564627056
4362,0.015001856615772547
5236,0.0009137497346744064
8327,0.0037252053109546367
11677,0.14909578058400139
6581,0.10367677396622385
5083,0.022252209475185365
14404,0.0024740054186093013
869,0.04634133587419533
10465,0.06870439487925446
10574,0.17630150179107895
11212,0.46300204406183304
12120,0.06509983720471789
8597,0.024561541955844545
5346,0.0034702020359053667
7508,0.011076381377775397
4755,0.0028758103427547733
1554,0.030645367907689295
15536,0.05431930155705434
11471,0.011339354036850659
15171,0.003687711875078668
9057,0.07510192446061117
12017,0.06533704822366534
13230,0.07510192446061117
4828,0.018668835883193187
4746,0.004772854928120045
1153,0.010939092458898606
5619,0.007078791511813604
4237,0.024448803289016767
14662,0.05327654990040987
14856,0.008164715949226032
11325,0.0007576372835401317
5538,0.0011954848976652814
17128,0.0036533676885088778
2073,0.12411285648871741
13003,0.0018630065527419281
9694,0.022252209475185365
12071,0.003142551421068519
13007,0.01217229370151105
15651,0.005433053574186804
16975,0.05748588019108252
320,0.018841344776330173
14878,0.02708310250144707
10160,0.01592174830988124
4944,0.014157710766879309
1677,0.003974821937213622
7594,0.07974512141332445
12852,0.03375880371089867
1057,0.06533704822366534
5666,0.07786822520469545
12983,0.06164587422197738
14510,0.053474280897373015
9191,0.022915015076261265
14308,0.009569203843633797
11748,0.0640083578154369
10951,0.002920163763256833
2633,0.005449662525214997
2796,0.06922737127006225
10174,0.05414225019266622
3257,0.053474280897373015
4660,0.17630150179107895
5158,0.011000363965834412
12818,0.07739304380686718
5257,0.07510192446061117
3067,0.0022000902166277613
8283,0.09416363819004983
7683,0.10367677396622385
12824,0.08194064849595988
4501,0.12256506642350934
11689,0.0012379028499666551
192,0.007861030517946949
6948,0.10565209740170348
3610,0.018876345292254865
9732,0.027852599455023896
16174,0.22051366326830596
9643,0.022100874240197847
11343,0.07510192446061117
9616,0.07804737609888529
9247,0.17630150179107895
15082,0.10367677396622385
13571,0.0034939537014666974
12482,0.003844689736281491
7427,0.0006661244903560336
10704,0.10625070435627049
12492,0.10259533633724655
6828,0.022252209475185365
14448,0.00203874936982849
8323,0.0021664623029897232
5545,0.030323486406944735
371,0.2999538317694448
6297,0.02708310250144707
8533,0.005506193581000216
10449,0.10100075952411694
1167,0.0008965808225676676
7731,0.14301492107145625
12505,0.05748588019108252
16662,0.02207244862088452
13703,0.10100075952411694
4858,0.00024204437489795422
14939,0.0008804960065597813
8087,0.004803110997524903
426,0.05431930155705434
9251,0.001239748214100136
9135,0.07510192446061117
3557,0.07510192446061117
2296,0.030849440645042716
15195,0.08246126974735478
15053,0.20548231005212034
13539,0.0009678303630389403
9362,0.0034003098934598233
4075,0.00013970731304358992
9922,0.006737598348011603
16350,0.07127216891472961
11511,0.02565703111177221
9981,0.00449027010416675
15497,0.20311373980289443
12108,0.036992558959266585
14641,0.003124432272778001
13998,0.07739304380686718
9303,0.001852508636412425
4678,0.07510192446061117
6305,0.06922737127006225
12995,0.0039669824068098505
16393,0.05243874208377476
6870,0.05748588019108252
11950,0.005493620401919231
16240,0.001122607355353301
7807,0.05286051733512049
5233,0.005862929943533037
10367,0.27121958417203385
5764,0.0008763919012369946
4815,0.009418402667458145
8518,0.053474280897373015
4215,0.06164587422197738
10607,0.009617860243232683
17435,0.10367677396622385
8369,0.030975252553531184
17248,0.006941668459251683
7698,0.02001492147118582
1432,0.1766232210031434
1997,0.12448726152260275
7744,0.11554781487081074
7081,0.05748588019108252
9158,0.17880196170640877
14314,0.0009903401137602878
1458,0.10100075952411694
8051,0.1018611254947255
1135,0.07724429592717835
15944,0.019243865362970538
12153,0.03438506075402647
9454,0.03336556076673009
7027,0.01356904544838204
14107,0.08246126974735478
2134,0.03779659603379637
14445,0.004994120736226115
7570,0.017035033254002994
15900,0.004297906426166311
8236,0.0067737379751491925
35,0.034851081364070176
8602,0.07510192446061117
5972,0.0025554386215950347
9392,0.0031350640101221175
14014,0.03752347584615437
8358,0.035811757648290456
9966,0.10100075952411694
7771,0.07510192446061117
6171,0.36029848307998497
8566,0.07510192446061117
10482,0.07510192446061117
2794,0.03505203224182129
15199,0.01722247093202567
10598,0.10367677396622385
826,0.05319650316227892
3332,0.0034140828499553957
1103,0.007389126277917052
5712,0.02483466256386569
6957,0.0030620191324104776
11954,0.05859581635204073
9413,0.0640083578154369
16386,0.06831976566674786
11466,0.10390487434285013
11244,0.07510192446061117
7598,0.002787100930134201
12485,0.0009090081292740372
15639,0.0011184910915038326
15973,0.02708310250144707
5774,0.007779235214492517
7498,0.10100075952411694
5685,0.009675340491545458
3378,0.03446330810845664
4621,0.002968315868836836
16081,0.0037712218133988938
7249,0.020170341658824018
13895,0.0010839798855667747
15727,0.008933997276856155
6201,0.008069253207449228
1645,0.0008650661351723612
1698,0.10367677396622385
280,0.019811132700015253
14967,0.04841485999973779
217,0.09622449550619169
